Time,Latitude,Longitude,Alt.(M),Dist.(M),HR (Bpm),Cadence,Speed
7:58:19 PM, 49.2792033869773, -123.240588996559, 34.2, 8573.33, 109.0, 0.0, 0.0
7:58:22 PM, 49.2792161274701, -123.240631241351, 34.2, 8573.33, 112.0, 0.0, 1.144
7:58:25 PM, 49.2792254313826, -123.240738781169, 34.2, 8579.0, 115.0, 30.0, 1.889
7:58:28 PM, 49.2792286165058, -123.240929218009, 34.2, 8591.87, 118.0, 45.0, 4.572
7:58:29 PM, 49.2792247608304, -123.240990070626, 34.2, 8596.13, 118.0, 47.0, 4.315
7:58:34 PM, 49.2792426142841, -123.241363149136, 34.4, 8620.21, 121.0, 94.0, 5.294
7:58:35 PM, 49.2792465537786, -123.24144847691, 35.0, 8625.58, 122.0, 94.0, 5.347
7:58:36 PM, 49.279252924025, -123.241523075848, 35.4, 8630.78, 122.0, 92.0, 5.333
7:58:37 PM, 49.279252924025, -123.241596249863, 35.6, 8635.95, 123.0, 94.0, 5.203
7:58:38 PM, 49.2792469728738, -123.241671016439, 36.4, 8641.25, 123.0, 102.0, 5.092
7:58:40 PM, 49.27923171781, -123.241810072213, 36.4, 8651.25, 124.0, 94.0, 5.033
7:58:44 PM, 49.2792187258601, -123.24209421873, 36.4, 8672.12, 127.0, 94.0, 5.333
7:58:45 PM, 49.2792188934981, -123.242163201794, 36.6, 8677.3, 128.0, 94.0, 5.333
7:58:46 PM, 49.2792206536978, -123.242235453799, 37.2, 8682.76, 128.0, 95.0, 5.373
7:58:47 PM, 49.2792215757071, -123.242307789623, 37.4, 8688.17, 129.0, 95.0, 5.414
7:58:48 PM, 49.2792280297726, -123.242378616705, 38.0, 8693.71, 130.0, 96.0, 5.421
7:58:49 PM, 49.2792327236384, -123.24244919233, 38.4, 8698.99, 131.0, 96.0, 5.427
7:58:52 PM, 49.2792416084557, -123.242652285844, 39.0, 8715.29, 134.0, 94.0, 5.316
7:58:53 PM, 49.279242362827, -123.242723196744, 39.4, 8720.61, 134.0, 95.0, 5.382
7:58:54 PM, 49.2792429495602, -123.242796454578, 40.0, 8726.17, 135.0, 95.0, 5.465
7:58:55 PM, 49.2792481463402, -123.242867030203, 40.4, 8731.51, 136.0, 95.0, 5.395
7:58:56 PM, 49.2792549356818, -123.242930062115, 41.0, 8736.86, 136.0, 95.0, 5.423
7:59:00 PM, 49.279274046421, -123.243170958012, 41.0, 8758.62, 139.0, 93.0, 5.382
7:59:01 PM, 49.2792744655162, -123.243231642991, 41.4, 8763.91, 140.0, 90.0, 5.238
